transaction_id,account_id,timestamp,amount,counterparty_name,transaction_type
TXN-EA3CEB7285,ACCT-1055,2026-06-01T00:00:45,52.21,Acme Retail Corp,wire_transfer
TXN-CECB511BB5,ACCT-1013,2026-06-01T00:53:38,1032.64,Sunrise Bakery,wire_transfer
TXN-E79695E880,ACCT-1025,2026-06-01T01:00:02,383.29,Bright Path Insurance,cash_deposit
TXN-31CC3209F0,ACCT-1005,2026-06-01T01:02:56,779.03,Union Hardware,ach_transfer
TXN-8A36BE40A3,ACCT-1015,2026-06-01T01:05:43,76.12,Blue Harbor Supplies,card_payment
TXN-FA5FFBA7AB,ACCT-1008,2026-06-01T01:06:03,1786.78,Acme Retail Corp,cash_deposit
TXN-91538AEF94,ACCT-1000,2026-06-01T01:19:57,610.93,Cedar Point Electronics,card_payment
TXN-26766765DE,ACCT-1021,2026-06-01T01:24:04,1157.92,Falcon Freight Inc,cash_withdrawal
TXN-856766D970,ACCT-1028,2026-06-01T01:33:08,124.29,Metro Utilities Co,cash_deposit
TXN-2975CF4B94,ACCT-1039,2026-06-01T01:59:56,143.84,Riverside Grocers,ach_transfer
TXN-AFB8079DC6,ACCT-1053,2026-06-01T02:05:57,842.17,Metro Utilities Co,ach_transfer
TXN-847E4A48D8,ACCT-1037,2026-06-01T02:09:43,82.18,Blue Harbor Supplies,cash_withdrawal
TXN-7B6D0B3E79,ACCT-1028,2026-06-01T02:20:45,508.06,Lakeside Medical Supply,card_payment
TXN-0BC00D7F37,ACCT-1017,2026-06-01T02:22:44,616.42,Greenfield Logistics,ach_transfer
TXN-71F2C76713,ACCT-1035,2026-06-01T02:23:47,402.26,Union Hardware,cash_withdrawal
TXN-7D63D83B4C,ACCT-1030,2026-06-01T02:35:31,294.1,Willow Bend Textiles,wire_transfer
TXN-429ABC34E0,ACCT-1019,2026-06-01T02:44:17,338.81,Cedar Point Electronics,card_payment
TXN-9AF3986794,ACCT-1010,2026-06-01T02:51:00,857.47,Metro Utilities Co,wire_transfer
TXN-696B58182D,ACCT-1005,2026-06-01T02:57:33,917.82,Palmdale Auto Parts,cash_deposit
TXN-79CBBA1952,ACCT-1015,2026-06-01T03:02:37,288.82,Cedar Point Electronics,card_payment
TXN-6662DB7116,ACCT-1000,2026-06-01T03:09:16,833.84,Crestwood Dental Group,ach_transfer
TXN-66EEB48523,ACCT-1031,2026-06-01T03:22:12,224.8,Sunrise Bakery,cash_deposit
TXN-2F3B489E05,ACCT-1003,2026-06-01T03:26:40,422.93,Maple Street Cafe,cash_withdrawal
TXN-98A6D17C35,ACCT-1041,2026-06-01T03:27:45,191.06,Ironclad Security LLC,cash_deposit
TXN-30AAA9CCC7,ACCT-1013,2026-06-01T03:36:27,574.59,Crestwood Dental Group,ach_transfer
TXN-7573E145ED,ACCT-1036,2026-06-01T03:49:09,878.65,Bright Path Insurance,wire_transfer
TXN-BBEFCFE837,ACCT-1021,2026-06-01T03:59:17,1105.34,Maple Street Cafe,cash_deposit
TXN-81E61FD507,ACCT-1039,2026-06-01T04:20:26,216.92,Metro Utilities Co,card_payment
TXN-9B8E5F8D46,ACCT-1017,2026-06-01T04:29:44,1208.2,Maple Street Cafe,wire_transfer
TXN-6D623BB3FD,ACCT-1026,2026-06-01T04:34:46,1099.78,Union Hardware,wire_transfer
TXN-50BEDD72EA,ACCT-1048,2026-06-01T04:43:36,1115.49,Blue Harbor Supplies,cash_deposit
TXN-492126D62C,ACCT-1041,2026-06-01T04:44:44,1025.96,Silver Creek Farms,wire_transfer
TXN-60352FAF21,ACCT-1039,2026-06-01T05:09:00,145.88,Crestwood Dental Group,cash_withdrawal
TXN-103968A331,ACCT-1005,2026-06-01T05:13:08,958.3,Crestwood Dental Group,ach_transfer
TXN-DAA7ADE8AA,ACCT-1040,2026-06-01T05:26:07,539.89,Riverside Grocers,card_payment
TXN-743257034E,ACCT-1015,2026-06-01T05:28:43,315.54,Blue Harbor Supplies,card_payment
TXN-C834ABA6E2,ACCT-1057,2026-06-01T05:36:44,129.46,Northgate Pharmacy,wire_transfer
TXN-6E2BC7D115,ACCT-1015,2026-06-01T05:48:35,314.77,Acme Retail Corp,ach_transfer
TXN-F74CA1A872,ACCT-1012,2026-06-01T06:01:51,625.1,Cedar Point Electronics,cash_withdrawal
TXN-25E32DE9A4,ACCT-1013,2026-06-01T06:14:18,711.97,Everett Consulting Group,card_payment
TXN-F9A22726F2,ACCT-1045,2026-06-01T06:29:04,587.02,Blue Harbor Supplies,wire_transfer
TXN-F667CC40D1,ACCT-1003,2026-06-01T06:29:08,209.09,Bright Path Insurance,cash_withdrawal
